#Resonance Frequency: 241000.000 kHz
#Set Current: 9.07 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000036	0.000	0.000	20.6796875	BEFORE
0.500760	0.001	0.000	20.796875	BEFORE
0.999922	0.000	0.000	20.8125	BEFORE
1.502180	0.001	0.000	20.8671875	BEFORE
1.999947	0.001	0.000	20.8828125	BEFORE
2.500128	0.001	0.000	20.8671875	BEFORE
2.999882	0.001	0.000	20.7734375	BEFORE
3.521280	0.001	0.000	20.8828125	BEFORE
3.999904	0.001	0.000	20.7421875	BEFORE
4.505907	0.000	0.000	20.8125	BEFORE
5.000403	0.000	0.000	20.90625	BEFORE
5.528007	0.001	0.000	20.9765625	BEFORE
5.999892	0.001	0.000	20.796875	BEFORE
6.521373	0.001	0.000	20.9609375	BEFORE
6.999900	0.001	0.000	20.8515625	BEFORE
7.506208	0.000	0.000	20.8828125	BEFORE
7.999988	0.000	0.000	20.8125	BEFORE
8.520860	0.001	0.000	20.8828125	BEFORE
8.999903	0.001	0.000	20.90625	BEFORE
9.520292	0.001	0.000	20.796875	BEFORE
9.999867	0.000	0.000	20.8671875	BEFORE
10.524554	0.001	0.000	20.796875	BEFORE
10.999912	0.000	0.000	20.9609375	BEFORE
11.521658	0.001	0.000	20.8671875	BEFORE
11.999906	0.001	0.000	20.8515625	BEFORE
12.518864	0.000	0.000	20.828125	BEFORE
12.999920	0.000	0.000	20.7734375	BEFORE
13.518861	0.001	0.000	20.8125	BEFORE
13.999928	0.000	0.000	20.8125	BEFORE
14.515340	0.001	0.000	20.90625	BEFORE
14.999899	0.001	0.000	20.7578125	BEFORE
15.520395	0.001	0.000	20.8515625	BEFORE
15.999911	0.000	0.000	20.8828125	BEFORE
16.505300	0.000	0.000	20.8671875	BEFORE
16.999940	0.000	0.000	20.828125	BEFORE
17.515561	0.001	0.000	20.8515625	BEFORE
18.004696	0.001	0.000	20.8515625	BEFORE
18.516956	0.001	0.000	20.8671875	BEFORE
18.999909	0.001	0.000	20.8125	BEFORE
19.517288	0.001	0.000	20.8125	BEFORE
