#Resonance Frequency: 160500.000 kHz
#Set Current: 27.23 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	State
0.000027	0.001	0.000	21.9296875	BEFORE
0.500089	0.000	0.000	21.9453125	BEFORE
1.000097	0.000	0.000	21.984375	BEFORE
1.499973	0.000	0.000	21.9296875	BEFORE
2.000094	0.000	0.000	21.859375	BEFORE
2.503118	0.000	0.000	22.0390625	BEFORE
3.000476	0.001	0.000	22.0	BEFORE
3.500073	0.000	0.000	21.96875	BEFORE
4.002096	0.000	0.000	22.0	BEFORE
4.501822	0.000	0.000	22.0234375	BEFORE
5.000166	0.001	0.000	21.984375	BEFORE
5.499906	0.001	0.000	21.890625	BEFORE
6.000107	0.000	0.000	21.9296875	BEFORE
6.500028	0.001	0.000	21.9453125	BEFORE
7.000100	0.001	0.000	21.9140625	BEFORE
7.499996	0.001	0.000	21.9453125	BEFORE
8.000271	0.001	0.000	21.9296875	BEFORE
8.499980	0.001	0.000	21.890625	BEFORE
9.001845	0.001	0.000	22.0234375	BEFORE
9.499930	0.001	0.000	21.984375	BEFORE
10.000143	0.000	0.000	21.9296875	BEFORE
10.499905	0.001	0.000	21.984375	BEFORE
11.000305	0.000	0.000	21.875	BEFORE
11.500200	0.000	0.000	21.890625	BEFORE
12.000145	0.001	0.000	21.9296875	BEFORE
12.500101	0.001	0.000	21.8359375	BEFORE
13.000121	0.001	0.000	21.8359375	BEFORE
13.499937	0.001	0.000	21.9140625	BEFORE
14.000150	0.001	0.000	22.0	BEFORE
14.499907	0.000	0.000	21.9296875	BEFORE
15.000094	0.000	0.000	21.9140625	BEFORE
15.499979	0.001	0.000	21.890625	BEFORE
16.005346	0.001	0.000	21.890625	BEFORE
16.500091	0.000	0.000	21.8203125	BEFORE
17.000330	0.000	0.000	21.8359375	BEFORE
17.499883	0.000	0.000	21.9140625	BEFORE
18.001185	0.001	0.000	21.9140625	BEFORE
18.499955	0.000	0.000	21.8203125	BEFORE
19.000099	0.000	0.000	21.8359375	BEFORE
19.499993	0.001	0.000	21.875	BEFORE
20.000100	0.001	0.000	21.9296875	BEFORE
20.499944	0.000	0.000	21.890625	BEFORE
21.000099	0.000	0.000	21.859375	BEFORE
21.500093	0.001	0.000	21.78125	BEFORE
22.000096	0.001	0.000	21.875	BEFORE
